ms_of_day,price,date
35400000,4703.1,20240104
35460000,4705.5,20240104
35520000,4707.07,20240104
35580000,4707.96,20240104
35640000,4707.3,20240104
35700000,4708.39,20240104
35760000,4707.78,20240104
35820000,4708.14,20240104
35880000,4706.8,20240104
35940000,4705.55,20240104
36000000,4706.26,20240104
36060000,4708.64,20240104
36120000,4712.65,20240104
36180000,4710.95,20240104
36240000,4711.66,20240104
36300000,4714.18,20240104
36360000,4712.74,20240104
36420000,4712.24,20240104
36480000,4713.33,20240104
36540000,4714.83,20240104
36600000,4716.55,20240104
36660000,4715.28,20240104
36720000,4716.79,20240104
36780000,4717.93,20240104
36840000,4717.12,20240104
36900000,4718.28,20240104
36960000,4717.06,20240104
37020000,4715.97,20240104
37080000,4716.56,20240104
37140000,4715.95,20240104
37200000,4715.57,20240104
37260000,4715.47,20240104
37320000,4714.43,20240104
37380000,4714.57,20240104
37440000,4713.49,20240104
37500000,4714.65,20240104
37560000,4713.38,20240104
37620000,4713.55,20240104
37680000,4714.89,20240104
37740000,4715.4,20240104
37800000,4715.09,20240104
37860000,4713.99,20240104
37920000,4715.22,20240104
37980000,4715.49,20240104
38040000,4716.62,20240104
38100000,4715.84,20240104
38160000,4714.91,20240104
38220000,4716.32,20240104
38280000,4714.84,20240104
38340000,4715.71,20240104
38400000,4714.8,20240104
38460000,4714.89,20240104
38520000,4715.51,20240104
38580000,4714.64,20240104
38640000,4716.56,20240104
38700000,4717.9,20240104
38760000,4717.18,20240104
38820000,4716.76,20240104
38880000,4717.51,20240104
38940000,4718.24,20240104
39000000,4719.14,20240104
39060000,4718.55,20240104
39120000,4718.56,20240104
39180000,4717.69,20240104
39240000,4716.15,20240104
39300000,4717.97,20240104
39360000,4716.69,20240104
39420000,4717.26,20240104
39480000,4717.8,20240104
39540000,4716.0,20240104
39600000,4715.84,20240104
39660000,4716.66,20240104
39720000,4717.87,20240104
39780000,4716.85,20240104
39840000,4717.66,20240104
39900000,4717.66,20240104
39960000,4718.15,20240104
40020000,4718.3,20240104
40080000,4717.69,20240104
40140000,4718.42,20240104
40200000,4718.82,20240104
40260000,4720.45,20240104
40320000,4722.17,20240104
40380000,4722.33,20240104
40440000,4723.18,20240104
40500000,4724.84,20240104
40560000,4724.78,20240104
40620000,4726.22,20240104
40680000,4725.23,20240104
40740000,4724.68,20240104
40800000,4723.91,20240104
40860000,4724.42,20240104
40920000,4724.2,20240104
40980000,4724.69,20240104
41040000,4725.65,20240104
41100000,4725.86,20240104
41160000,4726.08,20240104
41220000,4726.49,20240104
41280000,4726.0,20240104
41340000,4725.37,20240104
41400000,4723.78,20240104
41460000,4722.72,20240104
41520000,4721.28,20240104
41580000,4722.03,20240104
41640000,4722.6,20240104
41700000,4722.06,20240104
41760000,4722.98,20240104
41820000,4724.02,20240104
41880000,4725.18,20240104
41940000,4722.81,20240104
42000000,4723.07,20240104
42060000,4722.24,20240104
42120000,4722.07,20240104
42180000,4720.61,20240104
42240000,4720.56,20240104
42300000,4720.47,20240104
42360000,4720.32,20240104
42420000,4718.86,20240104
42480000,4718.62,20240104
42540000,4718.86,20240104
42600000,4717.9,20240104
42660000,4715.62,20240104
42720000,4715.07,20240104
42780000,4713.07,20240104
42840000,4713.93,20240104
42900000,4714.68,20240104
42960000,4714.49,20240104
43020000,4714.72,20240104
43080000,4714.71,20240104
43140000,4714.18,20240104
43200000,4714.12,20240104
43260000,4714.64,20240104
43320000,4714.19,20240104
43380000,4712.03,20240104
43440000,4711.49,20240104
43500000,4712.53,20240104
43560000,4713.12,20240104
43620000,4711.61,20240104
43680000,4712.04,20240104
43740000,4711.35,20240104
43800000,4711.81,20240104
43860000,4712.92,20240104
43920000,4713.4,20240104
43980000,4713.96,20240104
44040000,4714.28,20240104
44100000,4713.24,20240104
44160000,4712.72,20240104
44220000,4711.64,20240104
44280000,4711.55,20240104
44340000,4712.32,20240104
44400000,4712.86,20240104
44460000,4714.1,20240104
44520000,4712.74,20240104
44580000,4712.06,20240104
44640000,4712.26,20240104
44700000,4711.64,20240104
44760000,4713.15,20240104
44820000,4713.13,20240104
44880000,4713.9,20240104
44940000,4712.29,20240104
45000000,4713.04,20240104
45060000,4710.85,20240104
45120000,4710.48,20240104
